ad_id,recommendation,platform,brand,category,ad_type,target_audience,creative_theme,status,start_date,days_running,spend,revenue,roas,impressions,clicks,ctr,conversions,cpc,cpa,creative_score,landing_page_score,frequency,video_completion_rate
AD-0022,ENDED_WIN,Meta,Man Matters,Hair Care,Carousel,M 35-44,Celebrity Endorsement,Paused,2025-01-11,68,189285.65,28876260.56,152.55,4037323,261946,6.49,37826,0.72,5,6.08,6.77,3.83,
AD-0023,ENDED_OK,Google,Be Bodywise,Skin Care,Carousel,M 25-34,Infographic,Paused,2025-07-11,27,116839.99,737490.63,6.31,1289385,24594,1.91,369,4.75,316.64,2,3.32,2.21,
AD-0024,ENDED_WIN,YouTube,Man Matters,Nutrition,Image,M 25-34,Testimonial,Paused,2025-09-13,73,135198.78,13170418.45,97.42,5431863,95355,1.76,6800,1.42,19.88,2.19,5.09,2.35,
AD-0025,MONITOR,YouTube,Man Matters,Sexual Health,Story,M 35-44,Testimonial,Active,2025-06-01,34,143983.3,1980606.27,13.76,6156500,195566,3.18,1449,0.74,99.37,4.6,2.44,3.83,
AD-0026,ENDED_WIN,Instagram,Little Joys,Weight Management,Image,F 25-34,Before/After,Paused,2025-07-07,70,33575.68,3061647.07,91.19,894990,20883,2.33,1923,1.61,17.46,5.82,6.6,3.33,
AD-0027,SCALE,Google,Be Bodywise,Wellness,Reel,M 25-34,Infographic,Active,2025-11-20,31,53503.65,6190245.59,115.7,1051069,58901,5.6,4378,0.91,12.22,8.76,8.63,4.04,58.85
AD-0028,ENDED_WIN,Google,Little Joys,Nutrition,Video,M 25-34,Lifestyle,Completed,2025-07-27,69,31328.14,3891041.3,124.2,347702,22901,6.59,2959,1.37,10.59,8.78,9.12,6.08,30.32
AD-0029,ENDED_LOSS,Instagram,Little Joys,Hair Care,Reel,M 35-44,Lifestyle,Paused,2025-11-17,65,139192.58,95216.6,0.68,2211001,49968,2.26,291,2.79,478.33,7.66,3.78,5.37,77.98
AD-0030,KILL,Google,Man Matters,Sexual Health,Story,M 18-24,Before/After,Active,2025-07-28,21,162681.14,140391.58,0.86,1179314,11928,1.01,455,13.64,357.54,6.25,5.47,5.75,
AD-0031,ENDED_WIN,Google,Man Matters,Sexual Health,Carousel,M 35-44,Infographic,Paused,2025-04-11,53,142219.74,3216010.55,22.61,2416111,121146,5.01,15537,1.17,9.15,3.44,5.96,2.6,
AD-0032,ENDED_WIN,YouTube,Be Bodywise,Sexual Health,Reel,M 25-34,Product Demo,Paused,2025-04-18,30,175667.97,14530804.24,82.72,1934233,146658,7.58,19123,1.2,9.19,5.84,4.43,4.85,27.93
AD-0033,SCALE,Meta,Man Matters,Sexual Health,Carousel,M 35-44,Product Demo,Active,2025-05-08,1,161714.08,7214339.03,44.61,5025031,94268,1.88,6855,1.72,23.59,3.11,5.05,6.91,
AD-0034,ENDED_WIN,Google,Little Joys,Weight Management,Story,M 35-44,Infographic,Paused,2025-10-07,24,98927.03,5469070.35,55.28,698168,25448,3.64,3741,3.89,26.44,9.07,5.13,7.31,
AD-0035,SCALE,Meta,Little Joys,Hair Care,Image,M 25-34,Product Demo,Active,2025-06-22,65,131746.04,43316405.16,328.79,6015722,309329,5.14,21906,0.43,6.01,7.82,6.33,2.93,
AD-0036,ENDED_WIN,Meta,Be Bodywise,Weight Management,Story,F 35-44,Celebrity Endorsement,Paused,2025-11-20,14,141137.73,3472551.37,24.6,1416782,86816,6.13,5158,1.63,27.36,7.39,5.9,2.45,
AD-0037,ENDED_WIN,Meta,Be Bodywise,Skin Care,Carousel,M 35-44,UGC Style,Completed,2025-08-06,3,77766.83,6277657.94,80.72,1759151,33545,1.91,4521,2.32,17.2,8.23,9.97,1.58,
AD-0038,ENDED_WIN,Instagram,Be Bodywise,Nutrition,Carousel,M 35-44,Celebrity Endorsement,Completed,2025-10-22,10,90873.52,1495683.66,16.46,2795568,77582,2.78,6839,1.17,13.29,6.39,7.07,4.88,
AD-0039,ENDED_WIN,Google,Be Bodywise,Weight Management,Reel,M 35-44,Celebrity Endorsement,Completed,2025-06-17,25,146084.64,6157886.48,42.15,6434816,127398,1.98,4075,1.15,35.85,4.46,5.87,6.32,71.02
AD-0040,ENDED_WIN,YouTube,Man Matters,Weight Management,Story,M 35-44,Infographic,Completed,2025-02-19,36,32681.76,3558534.57,108.88,416072,16374,3.94,1856,2,17.61,9.47,2.43,3.03,
AD-0041,SCALE,Meta,Little Joys,Weight Management,Carousel,F 25-34,Testimonial,Active,2025-11-24,85,54108.22,4518173.43,83.5,896898,38931,4.34,4973,1.39,10.88,8.23,5.38,4.71,
AD-0042,MONITOR,Instagram,Man Matters,Skin Care,Story,M 25-34,Product Demo,Active,2025-11-03,80,77039.13,808774.32,10.5,684814,32586,4.76,3921,2.36,19.65,5.68,2.71,3.85,
AD-0043,MONITOR,YouTube,Man Matters,Wellness,Reel,F 18-24,Product Demo,Active,2025-08-03,27,76825.84,415597.3,5.41,790553,53166,6.73,593,1.45,129.55,4.97,3.29,6.86,55.96
AD-0044,MONITOR,Instagram,Man Matters,Skin Care,Image,F 18-24,UGC Style,Active,2025-09-08,74,34770.39,161564.68,4.65,377335,22932,6.08,81,1.52,429.26,8.37,3.46,3.14,
AD-0045,ENDED_WIN,Meta,Little Joys,Wellness,Image,F 18-24,Doctor Trust,Completed,2025-02-05,6,122367.42,27869285.56,227.75,4991430,159641,3.2,17277,0.77,7.08,3.68,1.68,2.85,
AD-0046,ENDED_WIN,Meta,Man Matters,Weight Management,Story,M 18-24,Doctor Trust,Completed,2025-02-16,65,27141.39,907505.72,33.44,648837,9372,1.44,906,2.9,29.96,3.66,7.83,4.31,
AD-0047,ENDED_WIN,Meta,Man Matters,Wellness,Carousel,F 18-24,Lifestyle,Completed,2025-09-17,71,44802.8,3044636.12,67.96,861519,31742,3.68,1722,1.41,26.02,5.72,5.19,6.72,
AD-0048,MONITOR,Meta,Little Joys,Hair Care,Video,M 18-24,Before/After,Active,2025-01-08,17,1711.67,16505.21,9.64,14537,974,6.7,36,1.76,47.55,5.2,2.38,6.04,20.08
AD-0049,ENDED_WIN,YouTube,Be Bodywise,Hair Care,Story,F 25-34,Lifestyle,Paused,2025-08-22,70,26754.18,6908452.52,258.22,1095945,85242,7.78,5851,0.31,4.57,3.66,2.21,5.92,
AD-0050,ENDED_LOSS,Meta,Be Bodywise,Weight Management,Image,M 18-24,Doctor Trust,Paused,2025-04-09,71,111898.41,156165.22,1.4,4724743,223624,4.73,126,0.5,888.08,2.53,8.11,5.74,
AD-0051,SCALE,Google,Be Bodywise,Hair Care,Image,F 35-44,Testimonial,Active,2025-09-10,24,33335.93,1434352.08,43.03,591147,31878,5.39,736,1.05,45.29,4.44,9.76,5.44,
AD-0052,ENDED_OK,Meta,Little Joys,Weight Management,Carousel,M 18-24,Product Demo,Paused,2025-03-28,62,158984.18,1893748.67,11.91,5068807,139686,2.76,2306,1.14,68.94,5.78,3.46,6.38,
AD-0053,ENDED_WIN,Google,Little Joys,Hair Care,Video,F 35-44,Before/After,Paused,2025-04-07,51,39625.73,1214766.55,30.66,503336,29311,5.82,2277,1.35,17.4,9.19,1.62,5.64,64.2
AD-0054,ENDED_WIN,Instagram,Little Joys,Sexual Health,Image,F 18-24,Testimonial,Paused,2025-09-27,28,4987.82,394149.99,79.02,42642,2344,5.5,277,2.13,18.01,7.43,9.49,1.89,
AD-0055,SCALE,Instagram,Be Bodywise,Skin Care,Image,F 18-24,Before/After,Active,2025-07-26,86,113432.7,5220694.24,46.02,997603,25117,2.52,2748,4.52,41.28,6.03,8.33,4.21,
AD-0056,ENDED_LOSS,Google,Little Joys,Weight Management,Reel,F 35-44,Lifestyle,Completed,2025-05-19,1,56876.87,102652.16,1.8,1574531,115247,7.32,154,0.49,369.33,5.42,4.27,4.18,69.32
AD-0057,SCALE,Meta,Man Matters,Skin Care,Image,F 25-34,UGC Style,Active,2025-07-07,1,67005.35,4383244.08,65.42,2699248,55684,2.06,4204,1.2,15.94,8.96,5.93,4.63,
AD-0058,ENDED_WIN,YouTube,Be Bodywise,Weight Management,Carousel,M 25-34,Before/After,Completed,2025-02-17,87,141706.52,2447549.63,17.27,899410,10549,1.17,1528,13.43,92.74,9.22,8.62,1.23,
AD-0059,SCALE,Google,Man Matters,Hair Care,Story,M 25-34,Infographic,Active,2025-07-02,6,108398.09,19863748.28,183.25,5130992,234666,4.57,16469,0.46,6.58,5.1,3.91,6.03,
AD-0060,SCALE,Google,Little Joys,Wellness,Story,F 25-34,Doctor Trust,Active,2025-08-14,79,100482.42,9245834.44,92.01,864426,42792,4.95,5176,2.35,19.41,5.84,5.64,4.69,
AD-0061,ENDED_WIN,Meta,Man Matters,Nutrition,Story,F 25-34,Lifestyle,Completed,2025-02-25,36,174524.1,37536379.76,215.08,6898364,212623,3.08,19919,0.82,8.76,1.84,6.13,6.79,
AD-0062,MONITOR,Google,Little Joys,Nutrition,Reel,F 25-34,Celebrity Endorsement,Active,2025-07-15,40,4580.7,65172.78,14.23,183953,3270,1.78,133,1.4,34.44,9.91,7.23,7.92,46.98
AD-0063,SCALE,Instagram,Little Joys,Sexual Health,Carousel,F 18-24,Product Demo,Active,2025-11-18,65,92359.93,9014173.2,97.6,3771363,118189,3.13,5894,0.78,15.67,7.55,9.88,5.6,
AD-0064,ENDED_WIN,Meta,Man Matters,Sexual Health,Story,F 18-24,Before/After,Completed,2025-05-08,75,110023.99,23498475.26,213.58,5086122,396553,7.8,34723,0.28,3.17,4.92,8.48,2.69,
AD-0065,ENDED_WIN,Meta,Be Bodywise,Wellness,Reel,F 25-34,Testimonial,Completed,2025-05-21,67,92794.99,16668059.27,179.62,2335266,139380,5.97,10130,0.67,9.16,2.49,4.15,3.01,61.18
AD-0066,ENDED_WIN,Instagram,Man Matters,Skin Care,Image,M 35-44,Before/After,Completed,2025-04-17,8,160487.67,22473744.16,140.03,2673740,197446,7.38,28916,0.81,5.55,5.67,2.58,3.98,
AD-0067,ENDED_LOSS,YouTube,Little Joys,Skin Care,Image,F 35-44,Product Demo,Paused,2025-09-08,6,82457.51,29165.04,0.35,2492105,101527,4.07,60,0.81,1374.29,3.06,4.48,2.63,
AD-0068,ENDED_WIN,Google,Man Matters,Weight Management,Reel,M 25-34,Lifestyle,Paused,2025-01-02,8,34633.84,17083539.48,493.26,1148851,65301,5.68,9626,0.53,3.6,6.34,1.63,2.33,33.78
AD-0069,ENDED_OK,Instagram,Little Joys,Nutrition,Image,F 18-24,Before/After,Paused,2025-02-07,1,43037.77,187977.7,4.37,1417171,7104,0.5,150,6.06,286.92,8.37,3.89,6.96,
AD-0070,SCALE,Meta,Man Matters,Sexual Health,Video,F 18-24,Infographic,Active,2025-03-08,1,165286.86,20286452.78,122.73,5070399,343416,6.77,15792,0.48,10.47,2.62,4.03,6.13,17.54
AD-0071,SCALE,YouTube,Man Matters,Weight Management,Carousel,M 35-44,Testimonial,Active,2025-11-08,84,131806.87,6015509.43,45.64,823985,29288,3.55,4348,4.5,30.31,7.42,5.42,2.21,
AD-0072,SCALE,YouTube,Man Matters,Hair Care,Reel,M 35-44,Doctor Trust,Active,2025-04-16,14,199998.91,33468193.88,167.34,9174706,667419,7.27,32841,0.3,6.09,1.89,7.07,6.78,38.68
AD-0073,ENDED_WIN,Google,Little Joys,Sexual Health,Image,M 35-44,Infographic,Paused,2025-01-23,73,180496.03,66267168.5,367.14,8020438,481822,6.01,55716,0.37,3.24,1.05,3.78,4.52,
AD-0074,MONITOR,YouTube,Man Matters,Nutrition,Story,F 25-34,Celebrity Endorsement,Active,2025-10-02,37,1804.46,66532.07,36.87,81677,444,0.54,46,4.06,39.23,4.97,3.8,5.78,
AD-0075,ENDED_OK,Instagram,Little Joys,Weight Management,Carousel,F 35-44,Celebrity Endorsement,Completed,2025-10-07,18,170374.74,2441216.38,14.33,2397819,185053,7.72,1636,0.92,104.14,4.86,1.76,1.07,
AD-0076,ENDED_WIN,Meta,Be Bodywise,Sexual Health,Video,F 35-44,Infographic,Completed,2025-11-21,36,142070.75,19045006.21,134.05,5280519,216317,4.1,17934,0.66,7.92,2.94,1.89,2.98,28.4
AD-0077,SCALE,Meta,Man Matters,Sexual Health,Image,M 25-34,Product Demo,Active,2025-04-14,80,27118.66,2550588.13,94.05,752297,31143,4.14,2397,0.87,11.31,1.56,8.75,5.75,
AD-0078,ENDED_OK,Meta,Little Joys,Hair Care,Reel,F 25-34,Celebrity Endorsement,Paused,2025-01-21,35,161481.6,1300626.8,8.05,8025658,42115,0.52,3131,3.83,51.58,3.39,6.98,2.15,37.26
AD-0079,SCALE,Google,Little Joys,Nutrition,Reel,F 35-44,Before/After,Active,2025-09-17,19,124894.69,2952423.05,23.64,4596817,28983,0.63,2088,4.31,59.82,4.13,8.15,3.87,7.73
AD-0080,SCALE,YouTube,Man Matters,Skin Care,Carousel,M 35-44,Before/After,Active,2025-07-25,40,129587.87,5676181.29,43.8,1155398,54610,4.73,3426,2.37,37.82,4.81,6.8,5.7,
AD-0081,MONITOR,Google,Little Joys,Nutrition,Carousel,M 25-34,Testimonial,Active,2025-09-21,51,198660.54,1552284.9,7.81,2390659,26581,1.11,976,7.47,203.55,9.96,7.69,1.66,
AD-0082,ENDED_OK,YouTube,Little Joys,Skin Care,Carousel,M 18-24,Lifestyle,Paused,2025-11-24,37,100793.82,1383792.07,13.73,1931897,31382,1.62,4217,3.21,23.9,5.76,2.5,5.83,
AD-0083,ENDED_WIN,Meta,Be Bodywise,Sexual Health,Story,M 35-44,UGC Style,Completed,2025-09-24,81,189407.2,4420439.84,23.34,6089366,64698,1.06,5090,2.93,37.21,5.68,8.95,2.18,
AD-0084,ENDED_WIN,Meta,Man Matters,Sexual Health,Image,M 25-34,Doctor Trust,Paused,2025-09-07,6,63022.65,1424154.79,22.6,1050862,24765,2.36,2640,2.54,23.87,5.9,5.88,4.3,
AD-0085,SCALE,Meta,Little Joys,Skin Care,Image,F 18-24,Celebrity Endorsement,Active,2025-09-18,75,78211.81,1904456.41,24.35,3484915,82712,2.37,3694,0.95,21.17,4.58,3.61,6.66,
AD-0086,ENDED_WIN,Instagram,Be Bodywise,Skin Care,Video,F 35-44,Celebrity Endorsement,Completed,2025-05-16,47,189814.28,9826301.58,51.77,8615833,389305,4.52,8865,0.49,21.41,3.58,8.72,2.86,33.97
AD-0087,ENDED_OK,Instagram,Be Bodywise,Hair Care,Reel,M 25-34,Lifestyle,Paused,2025-07-14,80,109873.59,1473066.73,13.41,1763231,40558,2.3,1431,2.71,76.78,3.35,5.29,3.93,52.35
AD-0088,ENDED_WIN,Google,Man Matters,Skin Care,Story,M 35-44,Lifestyle,Completed,2025-11-01,30,2899.55,57576.11,19.86,34311,728,2.12,42,3.98,69.04,6.21,5.29,6.73,
AD-0089,SCALE,YouTube,Little Joys,Weight Management,Reel,M 25-34,Product Demo,Active,2025-09-04,65,187968.21,8749365.81,46.55,4109035,58109,1.41,5479,3.23,34.31,1.74,7,7.51,52.66
AD-0090,ENDED_WIN,Instagram,Little Joys,Sexual Health,Image,M 35-44,Lifestyle,Paused,2025-07-04,17,79951.36,4925091.34,61.6,1943047,68845,3.54,5355,1.16,14.93,2.52,8.22,1.48,
AD-0091,ENDED_WIN,Meta,Be Bodywise,Skin Care,Image,F 25-34,Lifestyle,Paused,2025-04-14,5,120595.9,1856641.76,15.4,3605253,51948,1.44,4356,2.32,27.69,3.93,2.21,7.9,
AD-0092,ENDED_WIN,Meta,Man Matters,Weight Management,Reel,F 18-24,UGC Style,Paused,2025-10-13,45,71986.98,11793003.31,163.82,1864724,47708,2.56,7046,1.51,10.22,4.73,8.57,2.87,58.26
AD-0093,ENDED_WIN,Google,Be Bodywise,Wellness,Image,F 35-44,Before/After,Paused,2025-03-21,43,32626.1,4759272.63,145.87,872775,49777,5.7,2556,0.66,12.76,5.19,9.16,6.86,
AD-0094,ENDED_OK,YouTube,Be Bodywise,Weight Management,Story,M 25-34,Infographic,Paused,2025-04-20,48,121931.18,1532784.66,12.57,852915,12898,1.51,1042,9.45,117.02,6.7,1.55,4.39,
AD-0095,TESTING,Instagram,Little Joys,Wellness,Carousel,M 35-44,Product Demo,Active,2025-05-03,13,9401.25,7455252.09,793.01,424044,28036,6.61,3903,0.34,2.41,9.09,6.22,7.39,
AD-0096,ENDED_WIN,Instagram,Little Joys,Sexual Health,Carousel,F 25-34,Testimonial,Paused,2025-10-02,56,48509.12,2493220.88,51.4,1459707,46661,3.2,6607,1.04,7.34,1.49,7.38,2.16,
AD-0097,ENDED_OK,Meta,Little Joys,Skin Care,Reel,F 18-24,Doctor Trust,Paused,2025-03-23,60,78250.07,406537.07,5.2,752757,30913,4.11,1527,2.53,51.24,4.85,6.47,1.44,13.88
AD-0098,ENDED_LOSS,Google,Man Matters,Weight Management,Reel,M 25-34,Doctor Trust,Completed,2025-04-26,69,70999.24,49734.98,0.7,1159653,81232,7,48,0.87,1479.15,3.48,8.14,5.08,39.4
AD-0099,ENDED_WIN,Google,Man Matters,Skin Care,Reel,M 18-24,Lifestyle,Completed,2025-11-17,62,183436.76,68071923.85,371.09,6033402,458106,7.59,38096,0.4,4.82,8.13,9.17,2.6,10.63
AD-0100,MONITOR,Google,Man Matters,Skin Care,Reel,F 35-44,Celebrity Endorsement,Active,2025-08-10,75,57010.5,335539.43,5.89,2239956,14403,0.64,1192,3.96,47.83,9.25,8.49,3.43,77.19
AD-0101,ENDED_WIN,Google,Be Bodywise,Nutrition,Video,F 25-34,Product Demo,Completed,2025-03-04,51,35846.68,30779399.27,858.64,1474160,108887,7.39,15561,0.33,2.3,4.83,5.19,4.8,57.35
AD-0102,SCALE,Meta,Little Joys,Skin Care,Reel,M 18-24,Product Demo,Active,2025-05-12,23,154190.01,21667901.15,140.53,5693106,353188,6.2,43879,0.44,3.51,4.35,7.97,8,50.42
AD-0103,ENDED_WIN,Instagram,Man Matters,Skin Care,Carousel,F 25-34,Lifestyle,Paused,2025-02-16,20,62532.01,27362847.9,437.58,2915955,203373,6.97,28655,0.31,2.18,7.57,6.84,3.97,
AD-0104,ENDED_WIN,Meta,Be Bodywise,Wellness,Image,M 18-24,Infographic,Paused,2025-09-04,68,18215.78,3542300.21,194.46,481878,30874,6.41,2060,0.59,8.84,5.49,9.02,7.95,
AD-0105,SCALE,Google,Man Matters,Weight Management,Story,F 25-34,UGC Style,Active,2025-09-24,8,88283.1,1380950.93,15.64,1795451,57718,3.21,3639,1.53,24.26,9.14,1.03,2.62,
AD-0106,ENDED_OK,Meta,Little Joys,Weight Management,Video,M 35-44,Testimonial,Completed,2025-01-23,45,64323.1,366312.27,5.69,2683808,205171,7.64,266,0.31,241.82,9.76,1.31,7.12,56.52
AD-0107,SCALE,YouTube,Man Matters,Skin Care,Story,M 25-34,Product Demo,Active,2025-04-02,62,181645.27,43728688.17,240.74,6583596,220589,3.35,33048,0.82,5.5,5.03,3.29,2.2,
AD-0108,ENDED_WIN,Instagram,Man Matters,Nutrition,Video,M 18-24,Lifestyle,Paused,2025-10-26,25,52156.56,23972021.44,459.62,2229368,158370,7.1,17064,0.33,3.06,7.9,4.09,4.05,20
AD-0109,ENDED_OK,Meta,Man Matters,Weight Management,Carousel,M 35-44,UGC Style,Paused,2025-04-02,72,161358.95,760237.07,4.71,5605754,404160,7.21,3639,0.4,44.34,3.07,2.92,4.72,
AD-0110,ENDED_OK,Google,Little Joys,Weight Management,Carousel,F 25-34,Lifestyle,Completed,2025-08-24,44,1634.75,9704.43,5.94,52127,717,1.38,12,2.28,136.23,6.29,6.17,3.4,
AD-0111,SCALE,Google,Man Matters,Skin Care,Video,F 18-24,Testimonial,Active,2025-11-08,13,153404.98,16846266.88,109.82,4727837,104708,2.21,9320,1.47,16.46,9.57,1.39,1.72,84.83
AD-0112,ENDED_WIN,Google,Little Joys,Wellness,Image,M 25-34,UGC Style,Paused,2025-04-10,71,83460.07,2534874.05,30.37,498975,21267,4.26,3090,3.92,27.01,3.91,6.85,1.6,
AD-0113,ENDED_WIN,Instagram,Be Bodywise,Skin Care,Image,M 35-44,UGC Style,Paused,2025-07-27,63,15044.6,345254.84,22.95,291255,3584,1.23,280,4.2,53.73,8.61,1.62,6.12,
AD-0114,SCALE,Google,Man Matters,Nutrition,Reel,F 18-24,Doctor Trust,Active,2025-10-15,54,78055.62,9774405.51,125.22,2923622,193492,6.62,15684,0.4,4.98,6.34,6.42,5.53,54.6
AD-0115,ENDED_OK,Google,Be Bodywise,Weight Management,Story,F 25-34,Lifestyle,Completed,2025-02-13,58,74489.57,336261.83,4.51,1366678,12140,0.89,423,6.14,176.1,2.22,9.56,2.89,
AD-0116,MONITOR,Meta,Little Joys,Skin Care,Reel,M 35-44,Celebrity Endorsement,Active,2025-06-24,23,93404.94,448585.34,4.8,3972335,118437,2.98,295,0.79,316.63,10,3.24,4.75,16.18
AD-0117,ENDED_OK,YouTube,Man Matters,Nutrition,Video,F 18-24,Testimonial,Paused,2025-09-07,27,88793.54,1166316.59,13.14,1815519,23377,1.29,620,3.8,143.22,3.93,5.62,4.56,26.19
AD-0118,ENDED_OK,Google,Be Bodywise,Weight Management,Video,F 35-44,Celebrity Endorsement,Completed,2025-03-11,40,116296.77,1299122.13,11.17,2517041,26656,1.06,3124,4.36,37.23,5.14,3.16,3.24,64.65
AD-0119,ENDED_WIN,Meta,Man Matters,Hair Care,Reel,M 25-34,UGC Style,Completed,2025-02-01,86,93938.61,5237850.51,55.76,3821850,243850,6.38,22499,0.39,4.18,3.66,9.95,1.43,75.4
AD-0120,ENDED_WIN,Google,Man Matters,Wellness,Reel,M 18-24,UGC Style,Completed,2025-04-23,88,177345.45,23466372.66,132.32,4506153,191337,4.25,24569,0.93,7.22,7.61,3.65,4.04,78.11
AD-0121,ENDED_WIN,Instagram,Be Bodywise,Sexual Health,Story,F 25-34,Lifestyle,Paused,2025-03-26,35,98013.81,2154389.81,21.98,980614,23890,2.44,3540,4.1,27.69,1.41,5.76,4.93,
AD-0122,ENDED_WIN,Meta,Be Bodywise,Wellness,Video,F 18-24,Infographic,Paused,2025-09-13,49,43835.11,7780839.72,177.5,1783601,61778,3.46,4244,0.71,10.33,2.59,3.94,1.87,28.72
AD-0123,ENDED_WIN,YouTube,Be Bodywise,Sexual Health,Image,M 18-24,Infographic,Completed,2025-08-22,10,121050.68,32894792.42,271.74,5321144,176315,3.31,22448,0.69,5.39,1.99,3.06,7.76,
AD-0124,ENDED_WIN,Google,Little Joys,Wellness,Video,F 25-34,UGC Style,Paused,2025-02-04,71,73571.27,3661985.68,49.77,3459468,211429,6.11,7935,0.35,9.27,6.97,9.26,4.56,35.4
AD-0125,MONITOR,Meta,Man Matters,Weight Management,Image,F 18-24,Infographic,Active,2025-09-22,69,14225.34,1966102.11,138.21,262742,19395,7.38,1136,0.73,12.52,7.37,6.34,2.33,
AD-0126,ENDED_WIN,Meta,Man Matters,Wellness,Carousel,M 18-24,Celebrity Endorsement,Completed,2025-05-08,67,11377.81,362736.62,31.88,265581,12187,4.59,612,0.93,18.59,8.12,4.51,4.19,
